Block No	Threads	Block Size	Seq. Time	iBTM Time
21632980	14	170	8.157779ms	2.67959ms
21632995	14	248	16.153345ms	6.495457ms
21633042	14	248	9.979284ms	4.491105ms
21633064	14	131	6.090721ms	2.90467ms
21633074	14	188	6.210388ms	2.518337ms
21633101	14	203	9.326353ms	3.970821ms
21633103	14	175	7.557363ms	2.949085ms
21633114	14	209	9.883302ms	3.721178ms
21633122	14	130	7.609512ms	3.026411ms
21633146	14	156	5.22005ms	2.496738ms
21633163	14	243	11.977419ms	3.867012ms
21633186	14	199	7.315784ms	2.721615ms
21633207	14	161	5.9545ms	2.743916ms
21633212	14	80	7.799235ms	5.385894ms
21633243	14	237	9.987753ms	4.285009ms
21633254	14	141	8.939215ms	2.956788ms
21633268	14	192	7.76111ms	3.056342ms
21633342	14	174	7.664776ms	3.23802ms
21633351	14	173	6.93335ms	2.343986ms
21633376	14	160	8.02713ms	4.084869ms
21633394	14	245	9.274454ms	4.456315ms
21633416	14	202	7.309029ms	2.698375ms
21633427	14	273	8.793806ms	3.279128ms
21633435	14	165	5.782331ms	2.885326ms
21633484	14	152	7.675022ms	2.804154ms
21633486	14	315	12.868475ms	4.009182ms
21633492	14	157	6.078817ms	2.646961ms
21633508	14	256	10.216786ms	4.073729ms
21633509	14	89	3.411447ms	1.425241ms
21633666	14	230	8.395314ms	2.446176ms
21633673	14	163	9.521133ms	4.482349ms
21633675	14	230	7.721897ms	4.334524ms
21633709	14	232	5.865547ms	6.756266ms
21633726	14	146	5.863135ms	3.052665ms
21633728	14	267	11.84137ms	3.81128ms
21633737	14	121	6.482799ms	2.980985ms
21633746	14	111	4.875025ms	2.182248ms
21633768	14	144	6.063527ms	2.769182ms
21633769	14	66	3.046268ms	2.11936ms
21633784	14	200	12.985503ms	3.569752ms
21633786	14	174	9.199023ms	3.455476ms
21633795	14	226	10.58566ms	3.229117ms
21633808	14	135	5.882929ms	2.151674ms
21633813	14	154	6.881061ms	2.670392ms
21633814	14	185	10.735773ms	3.874353ms
21633847	14	121	5.867288ms	1.889857ms
21633875	14	222	9.476901ms	3.03643ms
21633882	14	141	7.880469ms	3.401102ms
21633905	14	123	7.081083ms	2.509264ms
21633946	14	124	2.664085ms	1.785139ms
21633989	14	180	9.72142ms	6.812557ms
21634017	14	167	10.129579ms	5.705845ms
21634069	14	53	4.31527ms	2.143458ms
21634083	14	149	5.500755ms	2.973685ms
21634092	14	179	8.077442ms	3.414568ms
21634098	14	212	10.643942ms	6.072678ms
21634102	14	144	7.063609ms	3.57334ms
21634122	14	220	12.761669ms	4.381728ms
21634175	14	161	8.627925ms	5.110856ms
21634192	14	180	11.240273ms	4.82726ms
21634221	14	250	12.464587ms	5.70986ms
21634230	14	95	4.612087ms	2.863475ms
21634260	14	67	18.308448ms	13.387253ms
21634268	14	114	5.350215ms	2.721838ms
21634286	14	236	11.416282ms	5.480789ms
21634302	14	138	6.646844ms	4.008811ms
21634304	14	210	12.257156ms	5.867006ms
21634340	14	224	9.502533ms	4.435799ms
21634352	14	163	8.024657ms	6.93524ms
21634353	14	169	6.518799ms	2.083588ms
21634380	14	121	5.930967ms	2.46495ms
21634401	14	84	3.216082ms	1.95931ms
21634431	14	154	8.812284ms	3.583887ms
21634433	14	277	12.953109ms	6.244928ms
21634458	14	176	15.339555ms	10.773494ms
21634472	14	122	5.93403ms	2.919394ms
21634535	14	261	11.03194ms	4.019747ms
21634556	14	124	5.488579ms	2.070787ms
21634572	14	286	11.778984ms	3.359737ms
21634577	14	120	8.529267ms	4.11571ms
21634596	14	193	11.016234ms	3.829516ms
21634625	14	76	3.787569ms	1.573558ms
21634653	14	179	9.046851ms	2.990164ms
21634669	14	222	8.92968ms	3.848491ms
21634706	14	70	2.117389ms	1.133745ms
21634833	14	221	14.490907ms	4.808455ms
21634835	14	140	8.017329ms	2.716018ms
21634843	14	97	1.527086ms	909.844µs
21634858	14	127	5.84079ms	2.812405ms
21634866	14	138	7.47922ms	2.238403ms
21634904	14	251	11.865579ms	4.080295ms
21634921	14	196	6.967728ms	2.163119ms
21634944	14	152	8.016822ms	2.966834ms
21634982	14	116	6.500193ms	2.49532ms
21634995	14	144	7.09962ms	2.072955ms
21634999	14	160	8.438394ms	2.204035ms
21635020	14	137	7.848029ms	2.438125ms
21635102	14	134	6.668728ms	2.576015ms
21635113	14	83	3.973943ms	2.260283ms
21635126	14	270	10.28266ms	3.528669ms
21635191	14	177	9.434599ms	3.972079ms
21635197	14	183	11.195052ms	3.524081ms
21635210	14	208	11.068694ms	4.569594ms
21635218	14	159	6.592946ms	2.3211ms
21635219	14	183	7.512679ms	3.774965ms
21635250	14	240	15.873682ms	5.053805ms
21635266	14	186	12.449129ms	6.566677ms
21635291	14	159	7.293691ms	2.454724ms
21635293	14	164	8.156819ms	4.240209ms
21635301	14	166	8.624523ms	2.871278ms
21635302	14	177	9.743871ms	3.281249ms
21635310	14	268	14.058379ms	5.00528ms
21635313	14	188	9.624316ms	5.337906ms
21635314	14	144	7.862304ms	3.065109ms
21635336	14	211	11.942264ms	5.353511ms
21635377	14	186	17.80168ms	7.758409ms
21635382	14	151	8.910441ms	3.888054ms
21635385	14	180	5.428851ms	2.888013ms
21635386	14	101	9.015814ms	3.947569ms
21635395	14	149	8.326882ms	2.663951ms
21635408	14	171	10.655294ms	3.489201ms
21635429	14	153	8.326403ms	3.089571ms
21635432	14	167	8.968941ms	3.131428ms
21635556	14	229	13.017509ms	5.400119ms
21635575	14	172	11.040272ms	3.507245ms
21635592	14	159	10.017075ms	4.00064ms
21635600	14	378	12.949112ms	4.663795ms
21635601	14	64	7.452505ms	6.524806ms
21635613	14	19	7.932234ms	6.277243ms
21635652	14	157	5.552195ms	2.249989ms
21635667	14	119	6.456174ms	3.309375ms
21635672	14	136	6.791239ms	2.623597ms
21635675	14	170	9.586521ms	3.577841ms
21635693	14	221	7.136054ms	2.81741ms
21635704	14	190	11.335432ms	3.532939ms
21635757	14	453	11.437084ms	9.545209ms
21635787	14	185	8.727153ms	2.900348ms
21635834	14	123	7.518709ms	4.455736ms
21635867	14	118	5.674364ms	3.223419ms
21635882	14	275	12.146651ms	7.994439ms
21635925	14	146	9.162436ms	7.604938ms
21635932	14	284	14.718701ms	6.165375ms
21635946	14	104	3.902841ms	2.814833ms
21635963	14	190	8.791107ms	4.114345ms
