Block No	Threads	Block Size	Williams Time
18000812	16	105	0.577000ms
18000813	16	148	0.595000ms
18000814	16	118	1.086000ms
18000815	16	136	0.634000ms
18000816	16	96	0.339000ms
18000817	16	159	0.386000ms
18000818	16	148	0.326000ms
18000819	16	122	0.299000ms
18000820	16	106	1.073000ms
18000821	16	98	0.282000ms
18000822	16	233	0.364000ms
18000823	16	156	0.342000ms
18000824	16	123	0.285000ms
18000825	16	117	0.727000ms
18000826	16	148	0.315000ms
18000827	16	132	1.173000ms
18000828	16	125	0.350000ms
18000829	16	98	1.088000ms
18000830	16	118	0.652000ms
18000831	16	132	0.305000ms
18000832	16	122	0.570000ms
18000833	16	157	0.356000ms
18000834	16	131	0.350000ms
18000835	16	72	0.517000ms
18000836	16	153	0.477000ms
18000837	16	124	0.319000ms
18000838	16	116	0.347000ms
18000839	16	88	0.309000ms
18000840	16	109	0.612000ms
18000841	16	87	0.322000ms
18000842	16	172	0.412000ms
18000843	16	106	0.975000ms
18000844	16	117	1.095000ms
18000845	16	79	0.677000ms
18000846	16	154	0.339000ms
18000847	16	150	0.357000ms
18000848	16	136	0.286000ms
18000849	16	101	0.312000ms
18000850	16	126	0.676000ms
18000851	16	120	0.307000ms
18000852	16	139	0.544000ms
18000853	16	146	0.317000ms
18000854	16	94	1.049000ms
18000855	16	138	0.520000ms
18000856	16	140	0.329000ms
18000857	16	125	0.722000ms
18000858	16	117	1.137000ms
18000859	16	185	0.348000ms
18000860	16	135	0.728000ms
18000861	16	115	0.298000ms
18000862	16	112	0.299000ms
18000863	16	123	0.355000ms
18000864	16	123	0.347000ms
18000865	16	139	1.001000ms
18000866	16	144	0.540000ms
18000867	16	147	0.331000ms
18000868	16	110	0.267000ms
18000869	16	130	0.417000ms
18000870	16	133	0.539000ms
18000871	16	121	0.718000ms
18000872	16	115	0.290000ms
18000873	16	142	0.337000ms
18000874	16	152	0.303000ms
18000875	16	158	1.220000ms
18000876	16	148	1.127000ms
18000877	16	125	0.306000ms
18000878	16	122	0.236000ms
18000879	16	167	0.411000ms
18000880	16	131	0.630000ms
18000881	16	135	0.289000ms
18000882	16	165	0.911000ms
18000883	16	142	0.426000ms
18000884	16	104	0.288000ms
18000885	16	192	0.647000ms
18000886	16	142	0.541000ms
18000887	16	142	0.314000ms
18000888	16	127	0.975000ms
18000889	16	162	0.368000ms
18000890	16	120	0.971000ms
18000891	16	124	0.310000ms
18000892	16	178	1.147000ms
18000893	16	142	0.337000ms
18000894	16	143	0.345000ms
18000895	16	107	0.611000ms
18000896	16	115	0.323000ms
18000897	16	171	0.368000ms
18000898	16	76	0.268000ms
18000899	16	161	1.135000ms
18000900	16	116	0.593000ms
18000901	16	111	0.282000ms
18000902	16	100	0.853000ms
18000903	16	137	1.206000ms
18000904	16	135	0.773000ms
18000905	16	105	0.599000ms
18000906	16	113	0.806000ms
18000907	16	141	0.336000ms
18000908	16	110	0.726000ms
18000909	16	143	0.301000ms
18000910	16	126	1.145000ms
18000911	16	128	0.363000ms
18000912	16	121	0.342000ms
18000913	16	116	0.290000ms
18000914	16	165	0.319000ms
18000915	16	113	0.615000ms
18000916	16	148	0.507000ms
18000917	16	190	0.491000ms
18000918	16	212	0.338000ms
18000919	16	133	1.037000ms
18000920	16	143	0.697000ms
18000921	16	107	0.313000ms
18000922	16	118	0.285000ms
18000923	16	164	0.472000ms
18000924	16	153	0.328000ms
18000925	16	140	1.234000ms
